DATE,VALUE
2007-05-01,100.1109
2007-06-01,100.1159
2007-07-01,100.1435
2007-08-01,100.2699
2007-09-01,100.7148
2007-10-01,100.2223
2007-11-01,100.8053
2007-12-01,100.8200
2008-01-01,100.4978
2008-02-01,100.3008
2008-03-01,100.0078
2008-04-01,99.2273
2008-05-01,98.7652
2008-06-01,98.5639
2008-07-01,98.1182
2008-08-01,96.5457
2008-09-01,92.4795
2008-10-01,93.2450
2008-11-01,92.1643
2008-12-01,89.5631
2009-01-01,87.5481
2009-02-01,86.9871
2009-03-01,85.6509
2009-04-01,84.9332
2009-05-01,84.0667
2009-06-01,83.7572
2009-07-01,84.4816
2009-08-01,85.3714
2009-09-01,85.9532
2009-10-01,86.2231
2009-11-01,86.6394
2009-12-01,87.0436
2010-01-01,87.9640
2010-02-01,88.3021
2010-03-01,88.9705
2010-04-01,89.2674
2010-05-01,90.6754
2010-06-01,90.8744
2010-07-01,91.4059
2010-08-01,91.6491
2010-09-01,91.8829
2010-10-01,91.5685
2010-11-01,91.8155
2010-12-01,92.7225
2011-01-01,92.6088
2011-02-01,92.1748
2011-03-01,93.1137
2011-04-01,92.5765
2011-05-01,92.9126
2011-06-01,93.0774
2011-07-01,93.6088
2011-08-01,94.1212
2011-09-01,94.2216
2011-10-01,94.7474
2011-11-01,94.9598
2011-12-01,95.5239
2012-01-01,96.1959
2012-02-01,96.6672
2012-03-01,96.1393
2012-04-01,96.8572
2012-05-01,97.1042
2012-06-01,97.1322
2012-07-01,97.5571
2012-08-01,96.7850
2012-09-01,96.9549
2012-10-01,96.8281
2012-11-01,98.0201
2012-12-01,98.1594
2013-01-01,98.3042
2013-02-01,99.0446
